"This one sheet workbook contains data from UC Irvine regarding lane useage and sharing between cyclists, pedestrians and automobile drivers as well as their framilliarity and use of technology.",,,,,,,,,,,,,,,,,,,,,
Respondent ID,Start Date,End Date,Familiarity With Tech,Shared Cyclist,Shared Pedestrian,Safe Human,Proving Ground,Speed 25 Mph,Report Safety Incident,Zip Code,Auto Owner,Smartphone Owner,Age,Example of a bike lane not shared with traffic,,,,,,,
10505419886,2/2/2019,2/2/2019,Somewhat familiar,Yes,No,1,Somewhat Approve,Yes,Yes,15217,Yes,Yes,18-24,,,,,,,,
10505138734,2/2/2019,2/2/2019,Somewhat familiar,No,Yes,3,Approve,No,Yes,15208,Yes,Yes,18-24,,,,,,,,
10504337177,2/1/2019,2/1/2019,Extremely familiar,Yes,No,3,Approve,No,Yes,15211,Yes,Yes,18-24,,,,,,,,
10504261546,2/1/2019,2/1/2019,Mostly familiar,No,Yes,3,Approve,Not sure,Yes,15206,Yes,Yes,18-24,,,,,,,,
10504232487,2/1/2019,2/1/2019,Mostly familiar,No,No,2,Approve,No,Yes,15237,Yes,Yes,18-24,,,,,,,,
10504048132,2/1/2019,2/1/2019,Not familiar at all,Not sure,Not sure,3,Approve,Not sure,Yes,15209,Yes,Yes,18-24,,,,,,,,
10504011274,2/1/2019,2/1/2019,Mostly familiar,No,Yes,3,Neutral,Not sure,Yes,15210,Yes,Yes,18-24,,,,,,,,
10503863228,2/1/2019,2/1/2019,Somewhat familiar,Yes,No,3,Neutral,Not sure,Yes,15232,Yes,Yes,18-24,,,,,,,,
10503731368,2/1/2019,2/1/2019,Somewhat familiar,No,No,3,Disapprove,Yes,Yes,15251,Yes,Yes,18-24,,,,,,,,
10503687114,2/1/2019,2/1/2019,Somewhat familiar,Yes,Yes,3,Approve,No,No,15224,Yes,Yes,18-24,,,,,,,,
10503567568,2/1/2019,2/1/2019,Somewhat familiar,Yes,Yes,4,Approve,No,Yes,15206,No,Yes,18-24,,,,,,,,
10503541139,2/1/2019,2/1/2019,Somewhat familiar,Yes,No,3,Approve,No,Yes,15219,Yes,Yes,18-24,Example of a bike lane that is shared with traffic,,,,,,,
10503248383,2/1/2019,2/1/2019,Extremely familiar,Not sure,Not sure,3,Neutral,No,Yes,15143,Yes,Yes,18-24,,,,,,,,
10502774103,1/31/2019,1/31/2019,Mostly familiar,No,Yes,4,Approve,No,Yes,15260,Yes,Yes,18-24,,,,,,,,
10502675032,1/31/2019,1/31/2019,Not familiar at all,Yes,Yes,3,Approve,No,Yes,15213,Yes,Yes,18-24,,,,,,,,
10502625514,1/31/2019,1/31/2019,Somewhat familiar,Yes,Yes,3,Approve,No,Yes,15228,Yes,Yes,18-24,,,,,,,,
10502571139,1/31/2019,1/31/2019,Mostly familiar,Yes,A,2,Approve,No,Not sure,15213,Yes,Yes,18-24,,,,,,,,
10502460099,1/31/2019,1/31/2019,Mostly familiar,Yes,Yes,3,Approve,Not sure,Not sure,15213,Yes,Yes,18-24,,,,,,,,
10502288136,1/31/2019,1/31/2019,Somewhat familiar,Not sure,No,4,Approve,Yes,Yes,15206,Yes,Yes,18-24,,,,,,,,
10502199182,1/31/2019,1/31/2019,Somewhat familiar,Yes,Yes,1,Disapprove,Yes,Yes,15217,No,Yes,18-24,,,,,,,,
10502147481,1/31/2019,1/31/2019,Not familiar at all,Yes,Yes,4,Somewhat Disapprove,Yes,Yes,15213,No,Yes,18-24,,,,,,,,
10502114701,1/31/2019,1/31/2019,Mostly familiar,No,Yes,4,Somewhat Disapprove,Not sure,Yes,15213,Yes,Yes,18-24,,,,,,,,
10502058758,1/31/2019,1/31/2019,Somewhat familiar,Not sure,Not sure,3,Somewhat Approve,Yes,Yes,15232,Yes,Yes,18-24,,,,,,,,
10502051148,1/31/2019,1/31/2019,Extremely familiar,Yes,Yes,2,Approve,No,No,15201,Yes,Yes,18-24,,,,,,,,
10502049467,1/31/2019,1/31/2019,Extremely familiar,Yes,Yes,2,Approve,No,Yes,15219,Yes,Yes,18-24,Link to US Department of Transportation on bike lane safety,,,,,,,
10502033424,1/31/2019,1/31/2019,Extremely familiar,A,Yes,2,Neutral,Yes,Yes,15214,Yes,Yes,18-24,,,,,,,,
10501991066,1/31/2019,1/31/2019,Somewhat familiar,No,Yes,3,Approve,No,Yes,15217,Yes,Yes,18-24,,,,,,,,
10501931788,1/31/2019,1/31/2019,Not familiar at all,No,Yes,3,Somewhat Approve,No,Yes,15206,No,Yes,18-24,,,,,,,,
10501884323,1/31/2019,1/31/2019,Somewhat familiar,Not sure,Not sure,3,Somewhat Approve,Yes,Yes,15106,Yes,Yes,18-24,,,,,,,,
10501701337,1/31/2019,1/31/2019,Extremely familiar,Yes,Yes,2,Approve,No,Yes,15221,Yes,Yes,18-24,,,,,,,,
10501695876,1/31/2019,1/31/2019,Somewhat familiar,Yes,Yes,2,Approve,No,Yes,15212,Yes,Yes,25-34,,,,,,,,
10501693618,1/31/2019,1/31/2019,Somewhat familiar,Yes,No,4,Neutral,No,Not sure,15232,Yes,Yes,25-34,,,,,,,,
10501667207,1/31/2019,1/31/2019,Somewhat familiar,Yes,Yes,2,Somewhat Approve,No,No,15201,Yes,Yes,25-34,,,,,,,,
10501635085,1/31/2019,1/31/2019,Somewhat familiar,Yes,Yes,2,Somewhat Approve,Yes,Not sure,15201,Yes,Yes,25-34,,,,,,,,
10501617297,1/31/2019,1/31/2019,Extremely familiar,Yes,Yes,3,Approve,Not sure,Yes,15009,Yes,Yes,25-34,,,,,,,,
